model,feature_method,fold,accuracy,precision,recall,f1,roc_auc
XGBoost,classical,1,0.868421052631579,0.8780487804878049,0.9557522123893806,0.9152542372881356,0.9316995688677103
MLP,classical,1,0.8092105263157895,0.85,0.9026548672566371,0.8755364806866953,0.7449512139777626
XGBoost,classical,2,0.9006622516556292,0.9016393442622951,0.9734513274336283,0.9361702127659575,0.9136003726129482
MLP,classical,2,0.7814569536423841,0.8571428571428571,0.8495575221238938,0.8533333333333334,0.731951560316721
XGBoost,classical,3,0.8940397350993378,0.9008264462809917,0.9646017699115044,0.9316239316239316,0.9569166278528178
MLP,classical,3,0.7947019867549668,0.8203125,0.9292035398230089,0.8713692946058091,0.7189101071262225
XGBoost,classical,4,0.8874172185430463,0.9,0.9557522123893806,0.927038626609442,0.9506287843502561
MLP,classical,4,0.7615894039735099,0.7583892617449665,1.0,0.8625954198473282,0.5394736842105263
XGBoost,classical,5,0.8344370860927153,0.865546218487395,0.9196428571428571,0.8917748917748918,0.9203296703296703
MLP,classical,5,0.8079470198675497,0.816793893129771,0.9553571428571429,0.8806584362139918,0.6818910256410257
